,Age,Education,EducationNum,MaritalStatus,Relationship,Gender,CapitalGain,HoursPerWeek
5740,31, Some-college,10, Married-civ-spouse, Husband, Male,0.0,55
5741,46, 1st-4th,2, Never-married, Own-child, Male,,40
5745,27, Some-college,10, Married-civ-spouse, Husband, Male,0.0,48
5746,20, 9th,5, Never-married, Own-child, Female,0.0,32
5748,41, Some-college,10, Married-civ-spouse, Husband, Male,0.0,60
5750,47, HS-grad,9, Divorced, Unmarried, Female,0.0,40
5751,60, 9th,5, Married-civ-spouse, Husband,,2228.0,37
5752,33, 9th,5, Married-civ-spouse, Husband, Male,0.0,50
5755,56, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,40
5756,50, Assoc-voc,11, Married-civ-spouse, Husband, Male,,55
5759,46,,11, Divorced, Other-relative,,0.0,36
5760,21, Some-college,10, Never-married, Not-in-family, Female,0.0,40
5763,20, HS-grad,9, Never-married, Own-child, Female,0.0,30
5764,54, Doctorate,16, Married-civ-spouse, Husband, Male,,50
5767,50, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
5769,48, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0.0,50
5772,42, HS-grad,9, Divorced, Not-in-family, Female,0.0,40
5775,37, Some-college,10, Divorced, Not-in-family, Female,0.0,40
5778,18, Some-college,10, Never-married, Other-relative, Female,0.0,20
5779,33, Some-college,10, Never-married, Not-in-family, Male,,40
5780,41, Some-college,10, Divorced, Not-in-family, Female,0.0,15
5781,21, Assoc-acdm,12, Never-married, Own-child, Female,0.0,20
5782,23, Assoc-voc,11, Never-married, Not-in-family,,0.0,40
5786,43, 10th,6, Married-civ-spouse, Husband, Male,0.0,42
5789,61, 7th-8th,4, Divorced, Unmarried, Female,0.0,40
5790,35, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
5799,20, HS-grad,9, Never-married, Own-child, Male,0.0,20
5800,19, 10th,6, Divorced, Not-in-family, Female,0.0,40
5801,27,,9, Never-married, Not-in-family, Male,0.0,40
5802,42, Assoc-acdm,12, Divorced, Unmarried, Female,0.0,45
5805,20, Some-college,10, Never-married, Not-in-family, Female,0.0,10
5807,17, 12th,8, Never-married, Own-child, Male,0.0,18
5809,39, Some-college,10, Divorced, Unmarried, Female,0.0,40
5810,25, 9th,5, Married-civ-spouse, Husband, Male,0.0,40
5811,31, Assoc-voc,11, Married-civ-spouse, Wife, Female,0.0,43
5812,44, HS-grad,9, Divorced, Not-in-family, Male,0.0,20
5813,53, Assoc-voc,11, Married-civ-spouse, Husband,,0.0,40
5814,34, Some-college,10, Separated, Not-in-family, Male,0.0,45
5817,35, Masters,14, Married-civ-spouse, Husband, Male,,40
5818,36, Some-college,10, Never-married, Not-in-family, Male,0.0,48
5819,45, Some-college,10, Widowed, Unmarried, Female,0.0,45
5821,53, Assoc-acdm,12, Married-civ-spouse, Husband, Male,,40
5822,35, Masters,14, Married-civ-spouse, Wife, Female,15024.0,50
5826,24, HS-grad,9, Never-married, Not-in-family, Male,,40
5827,54, Some-college,10, Married-civ-spouse, Husband,,0.0,40
5828,17, 10th,6, Never-married, Own-child, Female,0.0,12
5829,19, 12th,8, Never-married, Own-child, Male,0.0,16
5830,60, HS-grad,9, Widowed, Not-in-family, Female,,40
5831,46, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,35
5833,26, Some-college,10, Never-married, Own-child, Female,0.0,40
5834,58, 1st-4th,2, Married-civ-spouse, Husband, Male,0.0,38
5836,41, Masters,14, Married-civ-spouse, Husband, Male,0.0,38
5837,30, Bachelors,13, Divorced, Not-in-family,,0.0,40
5838,19, Some-college,10, Never-married, Not-in-family,,0.0,30
5839,48, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,60
5840,22, Some-college,10, Never-married, Not-in-family, Female,0.0,24
5841,50, Masters,14, Married-spouse-absent, Other-relative, Male,0.0,60
5842,25, 1st-4th,2, Never-married, Not-in-family, Female,,40
5843,18, 10th,6, Never-married, Own-child, Male,0.0,6
5845,47, Some-college,10, Married-civ-spouse, Husband, Male,0.0,50
5846,33, HS-grad,9, Never-married, Other-relative, Female,0.0,36
5847,39, HS-grad,9, Divorced, Own-child, Male,2174.0,40
5849,19, Some-college,10, Never-married, Own-child, Male,0.0,24
5850,18, 10th,6, Never-married, Own-child, Male,0.0,11
5851,36, HS-grad,9, Never-married, Own-child, Male,0.0,40
5854,40, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
5856,35, Some-college,10, Married-civ-spouse, Husband, Male,,40
5862,66, Masters,14, Married-civ-spouse, Husband, Male,0.0,50
5863,64, Masters,14, Never-married, Not-in-family, Female,0.0,35
5864,48, Some-college,10, Divorced, Not-in-family, Male,3325.0,53
5867,25, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,60
5868,33, 11th,7, Separated, Own-child, Female,0.0,20
5869,50, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,50
5870,51, 7th-8th,4, Married-spouse-absent, Not-in-family,,0.0,50
5874,59, Some-college,10, Divorced, Not-in-family, Male,2907.0,40
5877,37, 1st-4th,2, Married-civ-spouse, Husband, Male,0.0,85
5878,28, HS-grad,9, Never-married, Not-in-family, Male,0.0,30
5880,28,,10, Married-civ-spouse, Husband, Male,0.0,45
5882,36, Masters,14, Married-civ-spouse, Husband, Male,,45
5889,39, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,20
5890,26, Bachelors,13, Never-married, Own-child, Female,,20
5891,19,,9, Never-married, Not-in-family, Male,0.0,30
5892,21, HS-grad,9, Never-married, Own-child,,0.0,45
5893,32, Some-college,10, Never-married, Not-in-family,,0.0,40
5895,26, Bachelors,13, Never-married, Other-relative, Female,,50
5899,23, Some-college,10, Married-civ-spouse, Other-relative, Male,0.0,40
5900,29, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,45
5901,42, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
5903,63, HS-grad,9, Married-civ-spouse, Wife,,,20
5907,25, Bachelors,13, Never-married, Not-in-family,,0.0,50
5908,27, Assoc-voc,11, Married-civ-spouse, Wife, Female,0.0,40
5910,32, Some-college,10, Never-married, Own-child, Female,0.0,40
5912,25, HS-grad,9, Never-married, Not-in-family, Male,0.0,50
5913,18, 11th,7, Never-married, Own-child, Female,0.0,16
5915,29, Bachelors,13, Never-married, Not-in-family, Female,0.0,40
5919,57, HS-grad,9, Divorced, Not-in-family, Female,0.0,40
5920,22, 10th,6, Separated, Unmarried, Female,0.0,40
5922,33, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
5924,43, Bachelors,13, Separated, Unmarried, Male,,45
5926,42, Masters,14, Divorced, Not-in-family,,4650.0,40
5930,39, Some-college,10, Married-civ-spouse, Husband, Male,0.0,55
5931,41, Some-college,10, Married-civ-spouse, Wife, Female,0.0,32
5934,44, Some-college,10, Divorced, Unmarried,,0.0,40
5936,52, Some-college,10, Married-spouse-absent, Not-in-family, Female,14084.0,16
5937,71, Some-college,10, Widowed, Not-in-family, Male,0.0,35
5938,52, HS-grad,9, Never-married, Own-child, Male,,55
5940,53, Some-college,10, Divorced, Not-in-family, Male,0.0,48
5941,37, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,30
5942,26, 10th,6, Never-married, Not-in-family, Male,0.0,40
5943,34, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
5945,20, 9th,5, Never-married, Own-child, Female,0.0,40
5948,39, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,36
5949,24, Some-college,10, Never-married, Own-child, Female,0.0,20
5950,24, 11th,7, Divorced, Unmarried, Female,,35
5952,27, Bachelors,13, Never-married, Not-in-family,,,45
5953,25, HS-grad,9, Never-married, Unmarried, Female,0.0,40
5954,29, Some-college,10, Never-married, Not-in-family,,0.0,40
5955,42, Some-college,10, Married-civ-spouse, Wife, Female,0.0,37
5958,59, 1st-4th,2, Married-civ-spouse, Husband, Male,0.0,40
5959,29, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
5960,18, HS-grad,9, Never-married, Own-child,,0.0,20
5961,24, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,36
5963,36, HS-grad,9, Never-married, Unmarried, Female,0.0,28
5967,21, Assoc-voc,11, Never-married, Own-child, Male,0.0,40
5969,32, HS-grad,9, Never-married, Other-relative,,,40
5970,45, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
5971,53, 5th-6th,3, Married-civ-spouse, Husband,,0.0,40
5972,42, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,16
5973,32, HS-grad,9, Divorced, Not-in-family, Female,0.0,40
5975,62, 5th-6th,3, Married-civ-spouse, Husband,,0.0,24
5978,32, HS-grad,9, Never-married, Not-in-family, Male,0.0,35
5982,19, HS-grad,9, Never-married, Own-child, Male,,40
5985,58, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,50
5986,56, Bachelors,13, Widowed, Not-in-family,,0.0,40
5987,37, 10th,6, Divorced, Unmarried,,0.0,40
5990,34, Bachelors,13, Never-married, Own-child, Female,,40
5991,44, 9th,5, Divorced, Own-child, Female,,50
5992,28, HS-grad,9, Never-married, Unmarried, Male,,40
5993,35, HS-grad,9, Divorced, Not-in-family, Female,0.0,35
5996,20, 11th,7, Never-married, Own-child, Male,0.0,60
5997,24, HS-grad,9, Married-civ-spouse, Husband, Male,,60
5998,40, HS-grad,9, Divorced, Not-in-family, Male,0.0,45
5999,23, HS-grad,9, Never-married, Other-relative,,,40
6001,44, 10th,6, Divorced, Unmarried, Female,0.0,42
6002,51, Masters,14, Married-civ-spouse, Wife, Female,99999.0,50
6004,52, Assoc-acdm,12, Married-civ-spouse, Husband, Male,3103.0,48
6005,41, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,40
6006,33, 5th-6th,3, Married-civ-spouse, Husband, Male,,40
6007,50, Bachelors,13, Divorced, Unmarried, Male,0.0,45
6008,51, Assoc-voc,11, Married-civ-spouse, Husband, Male,7298.0,40
6009,41, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
6010,35, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,30
6011,34, Some-college,10, Married-civ-spouse, Husband, Male,7298.0,40
6012,28, Bachelors,13, Never-married, Not-in-family, Male,,45
6016,65, HS-grad,9, Married-civ-spouse, Husband, Male,9386.0,40
6018,23, Some-college,10, Never-married, Own-child, Male,0.0,40
6021,47,,10, Widowed, Not-in-family, Female,,35
6023,34,,9, Married-civ-spouse, Husband, Male,0.0,40
6024,52, HS-grad,9, Married-civ-spouse, Husband, Male,,60
6029,38, Bachelors,13, Married-spouse-absent, Not-in-family,,0.0,40
6032,34, Assoc-acdm,12, Never-married, Not-in-family,,8614.0,60
6036,40, HS-grad,9, Married-civ-spouse, Husband, Male,,40
6038,43, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
6040,25, Assoc-voc,11, Married-civ-spouse, Husband, Male,,40
6043,25, Some-college,10, Never-married, Own-child, Male,0.0,40
6044,22, Some-college,10, Never-married, Other-relative, Female,0.0,30
6046,61, HS-grad,9, Married-civ-spouse, Wife, Female,2414.0,5
6047,42, Bachelors,13, Never-married, Unmarried, Male,0.0,40
6048,21, Assoc-voc,11, Never-married, Not-in-family, Female,0.0,40
6050,65, HS-grad,9, Married-civ-spouse, Husband, Male,2290.0,40
6053,22, 10th,6, Never-married, Not-in-family,,0.0,40
6054,43, HS-grad,9, Divorced, Not-in-family, Female,0.0,24
6056,42, HS-grad,9, Divorced, Not-in-family, Female,,42
6057,37, HS-grad,9, Married-spouse-absent, Unmarried, Male,0.0,40
6058,56, 9th,5, Divorced, Not-in-family, Male,,40
6060,40, Assoc-acdm,12, Divorced, Unmarried, Female,0.0,32
6061,31, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
6062,26, Bachelors,13, Married-civ-spouse, Husband, Male,,40
6067,22, Some-college,10, Married-civ-spouse, Husband,,0.0,40
6068,33, Bachelors,13, Never-married, Own-child, Male,0.0,40
6072,47, Some-college,10, Divorced, Not-in-family, Female,0.0,60
6074,55, 11th,7, Widowed, Unmarried, Female,0.0,40
6075,52,,10, Married-civ-spouse, Husband, Male,0.0,55
6076,29, Bachelors,13, Never-married, Not-in-family, Male,0.0,40
6077,42, Masters,14, Never-married, Not-in-family, Female,0.0,40
6078,23, HS-grad,9, Divorced, Not-in-family, Male,0.0,60
6079,23, 12th,8, Never-married, Not-in-family, Female,0.0,30
6081,30,,10, Never-married, Not-in-family,,0.0,40
6083,25, Some-college,10, Never-married, Own-child, Female,0.0,30
6084,32, HS-grad,9, Married-civ-spouse, Husband, Male,,80
6085,56, 9th,5, Married-civ-spouse, Husband, Male,0.0,40
6086,33, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,43
6088,20, Some-college,10, Never-married, Own-child, Female,0.0,18
6090,34, 9th,5, Divorced, Unmarried, Female,0.0,40
6092,55, 9th,5, Married-civ-spouse, Wife,,,23
6093,31, Some-college,10, Never-married, Not-in-family, Male,0.0,45
6094,30, HS-grad,9, Divorced, Unmarried,,0.0,40
6095,31, HS-grad,9, Divorced, Unmarried,,0.0,40
6096,51, HS-grad,9, Separated, Not-in-family,,0.0,40
6098,58, HS-grad,9, Divorced, Unmarried, Female,,36
6099,40, 9th,5, Married-civ-spouse, Husband, Male,0.0,40
6100,54, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
6104,57, 10th,6, Widowed, Unmarried, Female,0.0,40
6106,46, HS-grad,9, Never-married, Unmarried, Female,0.0,24
6107,39, HS-grad,9, Never-married, Own-child, Female,0.0,38
6110,54, HS-grad,9, Never-married, Not-in-family, Male,0.0,41
6111,39, Masters,14, Married-civ-spouse, Husband,,0.0,40
6113,26, Prof-school,15, Never-married, Not-in-family,,0.0,30
6116,56, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
6118,22, HS-grad,9, Never-married, Not-in-family, Male,0.0,70
6119,58, 12th,8, Married-civ-spouse, Other-relative, Male,0.0,40
6123,56, HS-grad,9, Widowed, Unmarried, Female,0.0,40
6125,40, Bachelors,13, Never-married, Not-in-family, Female,0.0,48
6126,38, HS-grad,9, Divorced, Not-in-family, Male,0.0,32
6127,58, Some-college,10, Divorced, Unmarried, Female,0.0,40
6128,23, Some-college,10, Never-married, Own-child, Male,0.0,50
6130,51, Bachelors,13, Divorced, Not-in-family, Male,0.0,45
6132,44, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,70
6137,36, Assoc-voc,11, Married-civ-spouse, Husband, Male,0.0,50
6138,21, HS-grad,9, Never-married, Not-in-family, Female,0.0,50
6139,30, Some-college,10, Married-civ-spouse, Husband, Male,,40
6144,57, HS-grad,9, Divorced, Unmarried, Female,0.0,40
6145,44, HS-grad,9, Married-civ-spouse, Husband,,0.0,45
6151,27, HS-grad,9, Married-civ-spouse, Husband,,,40
6155,33, Some-college,10, Never-married, Not-in-family, Male,0.0,55
6157,55, HS-grad,9, Divorced, Not-in-family,,0.0,45
6158,39, Assoc-acdm,12, Never-married, Not-in-family, Female,0.0,40
6162,28, HS-grad,9, Separated, Unmarried, Female,0.0,50
6163,25, Some-college,10, Never-married, Own-child, Male,0.0,24
6164,31, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,50
6165,51, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
6166,24, Bachelors,13, Never-married, Own-child, Male,0.0,40
6167,70, HS-grad,9, Divorced, Not-in-family, Female,0.0,32
6169,61, HS-grad,9, Widowed, Not-in-family, Female,0.0,40
6171,47, HS-grad,9, Married-civ-spouse, Husband, Male,4064.0,60
6172,56, Some-college,10, Divorced, Not-in-family, Female,0.0,50
6173,79, Doctorate,16, Married-civ-spouse, Husband, Male,20051.0,35
6175,30, HS-grad,9, Never-married, Unmarried, Male,0.0,40
6176,27, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,25
6181,50, Prof-school,15, Married-civ-spouse, Husband, Male,0.0,60
6183,33,,6, Separated, Unmarried, Female,,35
6185,33, Assoc-acdm,12, Never-married, Not-in-family, Male,,50
6186,43, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,35
6187,33, 10th,6, Never-married, Unmarried,,0.0,40
6188,33, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,52
6190,21, Some-college,10, Never-married, Own-child, Female,0.0,9
6191,38,,9, Married-civ-spouse, Wife, Female,0.0,40
6192,38, Some-college,10, Married-civ-spouse, Wife, Female,0.0,35
6194,17, 11th,7, Never-married, Own-child, Female,,15
6195,21, Some-college,10, Married-civ-spouse, Husband,,,40
6196,42, Some-college,10, Married-civ-spouse, Husband, Male,0.0,20
6198,36, 11th,7, Divorced, Not-in-family,,0.0,40
6199,32, Some-college,10, Divorced, Not-in-family, Female,0.0,50
6202,37,,11, Married-civ-spouse, Husband, Male,0.0,40
6203,50, HS-grad,9, Separated, Unmarried, Female,,60
6215,23, HS-grad,9, Never-married, Own-child, Male,,40
6219,46, Assoc-acdm,12, Married-civ-spouse, Husband, Male,0.0,40
6221,34, Some-college,10, Never-married, Not-in-family, Male,0.0,40
6225,36, Some-college,10, Married-civ-spouse, Wife, Female,99999.0,40
6227,52, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
6228,24, HS-grad,9, Divorced, Not-in-family, Female,0.0,50
6229,36, HS-grad,9, Never-married, Not-in-family, Female,0.0,40
6233,67, Masters,14, Married-civ-spouse, Husband, Male,20051.0,60
6235,47, Some-college,10, Divorced, Not-in-family, Female,0.0,35
6236,32, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,55
6238,32, HS-grad,9, Never-married, Not-in-family, Female,0.0,35
6239,48, Some-college,10, Separated, Other-relative, Female,0.0,40
6240,21, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,35
6241,33, Assoc-acdm,12, Married-spouse-absent, Own-child,,0.0,40
6242,27, Some-college,10, Never-married, Not-in-family, Female,0.0,48
6243,47, Assoc-voc,11, Never-married, Not-in-family, Female,0.0,40
6244,18, 11th,7, Never-married, Own-child, Female,0.0,24
6246,23, Some-college,10, Never-married, Own-child, Male,0.0,37
6247,18,,6, Never-married, Own-child, Female,0.0,35
6248,56, HS-grad,9, Married-civ-spouse, Husband,,0.0,50
6249,24, Bachelors,13, Never-married, Own-child, Male,0.0,35
6251,23, Bachelors,13, Never-married, Own-child, Female,0.0,60
6252,26, Some-college,10, Never-married, Own-child, Male,0.0,42
6253,42, HS-grad,9, Widowed, Unmarried, Male,0.0,40
6256,51, HS-grad,9, Married-civ-spouse, Husband, Male,4386.0,55
6257,40, HS-grad,9, Never-married, Own-child, Male,,25
6260,42, HS-grad,9, Divorced, Other-relative, Female,0.0,40
6261,41, HS-grad,9, Separated, Unmarried, Female,0.0,40
6262,23, Some-college,10, Never-married, Own-child,,0.0,10
6264,38, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
6266,31,,9, Married-civ-spouse, Husband,,0.0,40
6269,24, Bachelors,13, Married-civ-spouse, Other-relative, Female,0.0,40
6271,20,,5, Never-married, Unmarried, Female,,20
6272,31, Some-college,10, Divorced, Own-child, Female,,30
6273,23, Some-college,10, Never-married, Own-child, Female,,20
6280,53, 10th,6, Divorced, Not-in-family, Male,0.0,40
6281,59, Doctorate,16, Married-civ-spouse, Husband, Male,0.0,40
6282,39, Some-college,10, Married-civ-spouse, Husband, Male,0.0,43
6283,18, 12th,8, Never-married, Own-child, Female,0.0,20
6286,24, Some-college,10, Divorced, Not-in-family, Female,0.0,40
6287,25, HS-grad,9, Never-married, Not-in-family, Female,0.0,38
6288,32, Some-college,10, Never-married, Not-in-family,,,40
6291,50, HS-grad,9, Married-civ-spouse, Husband, Male,7298.0,45
6293,37, HS-grad,9, Never-married, Not-in-family, Male,0.0,42
6294,30, Some-college,10, Never-married, Unmarried, Female,0.0,36
6296,22, HS-grad,9, Never-married, Not-in-family, Female,,40
6298,70, HS-grad,9, Divorced, Not-in-family, Female,0.0,23
6299,43,,14, Married-civ-spouse, Husband, Male,0.0,40
6302,33, Some-college,10, Married-civ-spouse, Husband, Male,0.0,39
6303,51, Some-college,10, Married-civ-spouse, Husband, Male,0.0,50
6305,22, Some-college,10, Never-married, Own-child, Male,0.0,12
6307,27, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
6308,35, Some-college,10, Never-married, Not-in-family, Male,0.0,60
6309,32, Some-college,10, Divorced, Not-in-family, Female,0.0,55
6310,41, Bachelors,13, Married-civ-spouse, Wife, Female,0.0,25
6311,37, Some-college,10, Married-civ-spouse, Husband, Male,0.0,40
6312,17, 11th,7, Never-married, Own-child,,,15
6313,50, Bachelors,13, Divorced, Not-in-family, Male,0.0,55
6317,40, Bachelors,13, Divorced, Unmarried, Female,0.0,20
6318,29, Bachelors,13, Married-civ-spouse, Husband,,5013.0,40
6319,38, HS-grad,9, Married-spouse-absent, Not-in-family, Male,0.0,35
6320,30, Assoc-voc,11, Married-civ-spouse, Husband, Male,0.0,55
6321,20, Some-college,10, Never-married, Own-child,,0.0,8
6323,25, Some-college,10, Never-married, Own-child, Male,0.0,25
6324,39, Masters,14, Married-civ-spouse, Husband, Male,0.0,50
6325,48, Assoc-acdm,12, Married-civ-spouse, Husband, Male,,50
6327,24, Bachelors,13, Never-married, Not-in-family, Male,0.0,30
6329,25, Some-college,10, Never-married, Not-in-family, Female,,40
6331,39, Some-college,10, Married-civ-spouse, Wife, Female,0.0,35
6332,66, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,40
6333,34, Some-college,10, Divorced, Unmarried, Female,0.0,40
6334,36, Bachelors,13, Divorced, Not-in-family, Male,,40
6335,46,,9, Married-civ-spouse, Wife, Female,0.0,40
6337,46, HS-grad,9, Married-civ-spouse, Husband, Male,,70
6339,43, Some-college,10, Married-civ-spouse, Wife, Female,0.0,40
6340,42, Some-college,10, Divorced, Own-child, Female,0.0,40
6341,31, Bachelors,13, Never-married, Not-in-family, Male,,48
6348,23, HS-grad,9, Never-married, Other-relative, Male,,55
6350,37, Some-college,10, Divorced, Unmarried, Female,0.0,45
6354,30, Assoc-voc,11, Married-civ-spouse, Wife, Female,0.0,24
6355,36, Some-college,10, Married-civ-spouse, Husband, Male,0.0,44
6357,29, HS-grad,9, Divorced, Not-in-family, Male,0.0,40
6360,42, HS-grad,9, Never-married, Not-in-family, Female,,40
6361,37, Assoc-acdm,12, Divorced, Not-in-family,,0.0,40
6362,51, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,25
6364,33, Assoc-acdm,12, Never-married, Unmarried, Female,2174.0,55
6366,59, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
6367,25, HS-grad,9, Never-married, Unmarried, Female,0.0,30
6368,22, HS-grad,9, Never-married, Own-child, Male,0.0,16
6369,56, Some-college,10, Married-civ-spouse, Husband, Male,,40
6370,44, Bachelors,13, Never-married, Unmarried, Female,0.0,40
6372,57, HS-grad,9, Never-married, Not-in-family, Male,0.0,40
6374,27,,13, Never-married, Not-in-family, Female,,40
6376,30, Bachelors,13, Never-married, Own-child, Male,0.0,40
6377,46, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
6379,61, Bachelors,13, Divorced, Not-in-family, Male,0.0,40
6380,33, HS-grad,9, Never-married, Not-in-family, Male,0.0,87
6386,37,,8, Never-married, Own-child, Female,0.0,40
6387,64, Masters,14, Married-civ-spouse, Husband, Male,0.0,60
6388,41, HS-grad,9, Never-married, Not-in-family, Male,0.0,54
6389,18, 11th,7, Never-married, Own-child, Male,594.0,30
6393,37, 9th,5, Separated, Unmarried, Female,,16
6394,34, Some-college,10, Never-married, Own-child, Female,0.0,40
6398,28, Assoc-voc,11, Never-married, Not-in-family, Female,0.0,40
6401,55, Bachelors,13, Divorced, Unmarried, Female,0.0,73
6402,20, Some-college,10, Never-married, Not-in-family,,,35
6405,40, 9th,5, Divorced, Not-in-family, Female,0.0,40
6409,25, Some-college,10, Never-married, Own-child, Male,0.0,46
6410,18, 11th,7, Never-married, Own-child, Male,0.0,8
6412,17, 12th,8, Never-married, Own-child, Male,0.0,17
6414,37, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,45
6416,74, HS-grad,9, Widowed, Not-in-family, Female,15831.0,40
6417,37, HS-grad,9, Divorced, Not-in-family, Male,0.0,40
6418,20, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
6419,40, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,35
6420,34, Bachelors,13, Never-married, Not-in-family,,27828.0,40
6421,30, Prof-school,15, Married-civ-spouse, Husband, Male,0.0,40
6422,44, HS-grad,9, Separated, Not-in-family, Female,0.0,40
6423,40, 10th,6, Married-civ-spouse, Wife, Female,0.0,32
6424,58, HS-grad,9, Married-civ-spouse, Wife, Female,0.0,40
6426,42, Some-college,10, Married-civ-spouse, Husband,,,25
6427,39, HS-grad,9, Never-married, Not-in-family, Male,0.0,18
6429,41, Masters,14, Married-civ-spouse, Husband, Male,15024.0,70
6433,27, Preschool,1, Married-civ-spouse, Other-relative, Male,,24
6435,40,,9, Widowed, Unmarried, Female,0.0,37
6437,17, 11th,7, Never-married, Own-child,,594.0,10
6438,33, Some-college,10, Married-civ-spouse, Husband, Male,0.0,52
6439,80, 7th-8th,4, Widowed, Not-in-family, Female,0.0,24
6441,28, Bachelors,13, Never-married, Own-child, Male,0.0,40
6443,21, Some-college,10, Never-married, Own-child,,0.0,40
6444,51, HS-grad,9, Divorced, Not-in-family, Female,0.0,38
6446,42, HS-grad,9, Never-married, Not-in-family, Female,,24
6452,26, HS-grad,9, Never-married, Not-in-family, Male,0.0,52
6455,55, Masters,14, Married-civ-spouse, Husband, Male,0.0,40
6456,33, HS-grad,9, Never-married, Not-in-family,,0.0,32
6457,62, HS-grad,9, Married-civ-spouse, Husband, Male,0.0,60
6458,47, 10th,6, Divorced, Unmarried, Female,0.0,30
6459,26, 12th,8, Never-married, Other-relative, Male,0.0,51
6460,59, HS-grad,9, Married-spouse-absent, Unmarried, Female,0.0,20
6462,26, Some-college,10, Never-married, Not-in-family, Female,0.0,20
6463,47, 10th,6, Married-civ-spouse, Husband, Male,0.0,65
6464,25, Masters,14, Never-married, Not-in-family, Female,0.0,43
6466,46, HS-grad,9, Married-civ-spouse, Husband,,0.0,40
6467,67,,6, Married-civ-spouse, Husband, Male,0.0,20
6470,22, Bachelors,13, Never-married, Not-in-family, Female,,35
6473,24, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,40
6474,37, HS-grad,9, Separated, Unmarried, Female,0.0,38
6475,38, 10th,6, Never-married, Not-in-family, Male,0.0,90
6477,36, HS-grad,9, Married-civ-spouse, Husband, Male,,33
6478,43, Assoc-voc,11, Married-civ-spouse, Husband, Male,,40
6479,39, Bachelors,13, Divorced, Not-in-family, Male,0.0,40
6480,26, Bachelors,13, Never-married, Own-child, Male,0.0,45
6488,29,,13, Married-civ-spouse, Husband, Male,0.0,40
6494,36, HS-grad,9, Divorced, Unmarried,,,40
6496,20, HS-grad,9, Never-married, Own-child, Female,0.0,10
6497,36, HS-grad,9, Married-civ-spouse, Husband,,,40
6498,38, HS-grad,9, Divorced, Own-child, Male,0.0,40
6500,39, Masters,14, Married-civ-spouse, Husband, Male,7688.0,40
6501,18, 10th,6, Never-married, Own-child, Male,,36
6502,33, HS-grad,9, Divorced, Not-in-family, Male,0.0,50
6503,35,,9, Never-married, Not-in-family, Female,,40
6505,37, Bachelors,13, Separated, Unmarried, Female,0.0,36
6506,25, HS-grad,9, Married-civ-spouse, Husband,,0.0,30
6509,54, 11th,7, Married-civ-spouse, Husband, Male,0.0,40
6511,32, HS-grad,9, Never-married, Unmarried,,0.0,13
6514,45, Bachelors,13, Married-civ-spouse, Husband, Male,0.0,37
6516,40, Some-college,10, Divorced, Unmarried, Female,0.0,40
6517,24, HS-grad,9, Never-married, Not-in-family,,0.0,49
